6378.137000	-6378.137000	6478.137000	-6378.137000
6378.133811	-6371.758864	6478.133761	-6371.658864
6378.124244	-6365.380735	6478.124044	-6365.180735
6378.108298	-6359.002618	6478.107848	-6358.702618
6378.085975	-6352.624520	6478.085175	-6352.224521
6378.057273	-6346.246448	6478.056023	-6345.746450
6378.022194	-6339.868408	6478.020394	-6339.268411
6377.980736	-6333.490406	6477.978286	-6332.790411
6377.932901	-6327.112448	6477.929701	-6326.312457
6377.878687	-6320.734542	6477.874637	-6319.834554
6377.818096	-6314.356693	6477.813096	-6313.356710
6377.751127	-6307.978908	6477.745077	-6306.878930
6377.677780	-6301.601193	6477.670580	-6300.401222
6377.598055	-6295.223554	6477.589605	-6293.923591
6377.511953	-6288.845999	6477.502153	-6287.446045
6377.419473	-6282.468533	6477.408223	-6280.968589
6377.320616	-6276.091162	6477.307816	-6274.491230
6377.215381	-6269.713894	6477.200932	-6268.013975
6377.103770	-6263.336733	6477.087570	-6261.536831
6376.985781	-6256.959688	6476.967731	-6255.059802
6376.861415	-6250.582764	6476.841416	-6248.582897
6376.730672	-6244.205967	6476.708623	-6242.106122
6376.593553	-6237.829305	6476.569354	-6235.629482
6376.450057	-6231.452782	6476.423608	-6229.152985
6376.300185	-6225.076407	6476.271386	-6222.676637
6376.143936	-6218.700184	6476.112688	-6216.200445
6375.981311	-6212.324121	6475.947513	-6209.724414
6375.812310	-6205.948224	6475.775863	-6203.248552
6375.636934	-6199.572499	6475.597736	-6196.772864
6375.455181	-6193.196952	6475.413134	-6190.297358
6375.267054	-6186.821590	6475.222057	-6183.822040
6375.072551	-6180.446420	6475.024504	-6177.346916
6374.871673	-6174.071447	6474.820477	-6170.871993
6374.664420	-6167.696679	6474.609974	-6164.397278
6374.450792	-6161.322121	6474.392998	-6157.922776
6374.230790	-6154.947779	6474.169546	-6151.448494
6374.004414	-6148.573661	6473.939621	-6144.974439
6373.771663	-6142.199773	6473.703221	-6138.500617
6373.532539	-6135.826120	6473.460348	-6132.027034
6373.287042	-6129.452710	6473.211001	-6125.553698
6373.035171	-6123.079548	6472.955181	-6119.080615
6372.776927	-6116.706641	6472.692889	-6112.607790
6372.512310	-6110.333996	6472.424123	-6106.135231
6372.241321	-6103.961619	6472.148885	-6099.662944
6371.963959	-6097.589516	6471.867175	-6093.190935
6371.680226	-6091.217693	6471.578993	-6086.719212
6371.390121	-6084.846157	6471.284340	-6080.247780
6371.093644	-6078.474915	6470.983215	-6073.776645
6370.790797	-6072.103972	6470.675619	-6067.305815
6370.481578	-6065.733336	6470.361552	-6060.835296
6370.165990	-6059.363011	6470.041016	-6054.365094
6369.844031	-6052.993006	6469.714009	-6047.895216
6369.515702	-6046.623325	6469.380532	-6041.425668
6369.181003	-6040.253976	6469.040586	-6034.956457
6368.839936	-6033.884965	6468.694171	-6028.487589
6368.492499	-6027.516299	6468.341287	-6022.019071
6368.138694	-6021.147983	6467.981935	-6015.550909
6367.778521	-6014.780023	6467.616115	-6009.083109
6367.411981	-6008.412428	6467.243828	-6002.615679
6367.039072	-6002.045202	6466.865073	-5996.148624
6366.659797	-5995.678352	6466.479851	-5989.681951
6366.274155	-5989.311884	6466.088163	-5983.215666
6365.882147	-5982.945805	6465.690009	-5976.749777
6365.483773	-5976.580122	6465.285389	-5970.284289
6365.079033	-5970.214840	6464.874303	-5963.819208
6364.667929	-5963.849966	6464.456753	-5957.354542
6364.250460	-5957.485506	6464.032739	-5950.890297
6363.826626	-5951.121467	6463.602260	-5944.426479
6363.396429	-5944.757855	6463.165318	-5937.963094
6362.959868	-5938.394676	6462.721912	-5931.500150
6362.516944	-5932.031938	6462.272044	-5925.037653
6362.067658	-5925.669645	6461.815714	-5918.575608
6361.612010	-5919.307804	6461.352921	-5912.114024
6361.150000	-5912.946423	6460.883668	-5905.652905
6360.681629	-5906.585506	6460.407953	-5899.192258
6360.206897	-5900.225062	6459.925779	-5892.732091
6359.725805	-5893.865095	6459.437144	-5886.272409
6359.238353	-5887.505612	6458.942050	-5879.813219
6358.744542	-5881.146620	6458.440496	-5873.354527
6358.244373	-5874.788125	6457.932485	-5866.896340
6357.737845	-5868.430134	6457.418015	-5860.438664
6357.224959	-5862.072652	6456.897088	-5853.981506
6356.705716	-5855.715686	6456.369704	-5847.524872
6356.180117	-5849.359242	6455.835864	-5841.068769
6355.648161	-5843.003328	6455.295568	-5834.613203
6355.109849	-5836.647948	6454.748817	-5828.158180
6354.565183	-5830.293110	6454.195611	-5821.703707
6354.014162	-5823.938820	6453.635950	-5815.249791
6353.456787	-5817.585084	6453.069836	-5808.796437
6352.893058	-5811.231908	6452.497269	-5802.343653
6352.322977	-5804.879300	6451.918250	-5795.891445
6351.746543	-5798.527265	6451.332779	-5789.439819
6351.163757	-5792.175809	6450.740856	-5782.988782
6350.574621	-5785.824939	6450.142482	-5776.538339
6349.979133	-5779.474662	6449.537659	-5770.088499
6349.377296	-5773.124983	6448.926386	-5763.639266
6348.769110	-5766.775909	6448.308663	-5757.190648
6348.154574	-5760.427447	6447.684493	-5750.742651
6347.533691	-5754.079602	6447.053875	-5744.295281
6346.906460	-5747.732382	6446.416810	-5737.848545
6346.272882	-5741.385791	6445.773298	-5731.402450
6345.632957	-5735.039838	6445.123341	-5724.957001
6344.986688	-5728.694528	6444.466938	-5718.512205
6344.334073	-5722.349867	6443.804092	-5712.068069
6343.675114	-5716.005862	6443.134801	-5705.624599
6343.009811	-5709.662519	6442.459067	-5699.181802
6342.338165	-5703.319844	6441.776891	-5692.739683
